事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
セブンイレブン相模原横山台１丁目店,小売業,コンビニエンスストア,横山台1-10-10,042-774-9327,NA,神奈川県相模原市中央区横山台1-10-10,139.3590924,35.5678989
ダイヤ・ドライセンター横山台工場店,サービス業,クリーニング店です。衣類のお直しも承っております。 横山台1-24-18,NA,042-758-5643,NA,神奈川県相模原市中央区NA,139.3754694,35.5559466
鉄板焼き居酒屋なかまる,飲食業,"鉄板焼き居酒屋です！ 
料理は全て目の前で焼いて提供致します！ステーキ
やホルモン焼き、お好み焼き、焼きそば、焼き飯、揚げ
物等豊富にあります！",横山台2-9-8コーポ栗山103,042-704-9657,NA,神奈川県相模原市中央区横山台2-9-8コーポ栗山103,139.3606745,35.564577
ドギーベリー,サービス業,"小型犬専用のトリミングサロン、幼稚園、ホテルをして
います。",横山台2-4-1,042-751-2203,NA,神奈川県相模原市中央区横山台2-4-1,139.3607137,35.5672196
パナハートアサヒ,小売業,家電販売,横山台2-9-13,042-753-1695,NA,神奈川県相模原市中央区横山台2-9-13,139.3603275,35.5645345
ファミリー美肌サロン,サービス業,エステサロンです。,横山台1-16-4,042-707-0226,"まもなく8周年♪充実した設備・確かな技術・丁寧な施
術・通いやすい価格で貴方のお肌をメンテナンス♪無
料駐車場完備♪初めての方もお気軽にお越しください♪",神奈川県相模原市中央区横山台1-16-4,139.3579579,35.5695027
宝来カラオケホール,飲食業,カラオケ,横山台1-8-17,080-7964-3777,フリードリンク昼食付,神奈川県相模原市中央区横山台1-8-17,139.3591537,35.5700083
ポーラライラックショップ,小売業,化粧品販売,横山台1-15-8-1,042-755-3426,NA,神奈川県相模原市中央区横山台1-15-8-1,139.3573058,35.5699013
横山台珈琲館,飲食業,"喫茶店
自家焙煎珈琲豆販売
焼いて24時間以内の新鮮な珈琲豆を、提供いたしま
す。",横山台1-1-17,042-758-7668,"店主の鈴木は、皇居前パレスホテルで修行したのち、
地元に根付いた店を持ちたいと開店してから、早くも
43年経ちました。珈琲の香りに満ちた、レトロな雰囲
気のお店でです。",神奈川県相模原市中央区横山台1-1-17,139.3611917,35.5690674
ラクチン,サービス業,整体施術,横山台2-2-3,080-5408-4292 初回限定　４０分コースを２９８０円,NA,神奈川県相模原市中央区横山台2-2-3,139.3597999,35.5674938
（株）リプラス,その他,地域密着のリフォーム会社です。,横山台2-1-7,042-751-4858,"お見積はもちろん無料！
外壁や屋根も無料で調査に伺います。",神奈川県相模原市中央区横山台2-1-7,139.360674,35.5675277
ブティック 三幸,小売業,衣類（ジャケット・パンツ・Tシャツ）販売,由野台1-24-1,042-757-1540,NA,神奈川県相模原市中央区由野台1-24-1,139.3990576,35.5602003
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
（有）ツバキコーポレーション,"小売業/サービス
業","印刷会社・広告代理店 
法人用、公人用、個人用、特殊名刺を請け負っており
ます。",上溝4505-19,042-761-4436,NA,神奈川県相模原市中央区上溝4505-19,139.3425729,35.5681896
つるや小間物店,小売業,資生堂化粧品　婦人小物　絹糸などの販売,上溝6-2-2,042-762-0116,上溝商店街クーポン取扱い店,神奈川県相模原市中央区上溝6-2-2,139.3574367,35.5568683
手造りハム・ソーセージ クライフ,小売業,"自家製ベーコンの焼きたてが人気の肉屋です。お昼
は弁当もあります。",上溝1482,042-769-5076,NA,神奈川県相模原市中央区上溝1482,139.3696596,35.5479049
（有）とまと電化,小売業,電化製品販売及び修理,上溝2-5-21,042-763-3144,NA,神奈川県相模原市中央区上溝2-5-21,139.3521782,35.561672
ドライヘッドマッサージ専門店beauty,サービス業,"ヘッドマッサージ専門店です。 
健康に関わる酵素や、サプリメントも販売しています。",上溝7-16-12,080-5943-1748 次回利用できる割引券の配布,NA,神奈川県相模原市中央区上溝7-16-12,139.3611388,35.5572188
ながいカイロプラクティック,サービス業,"慢性持病の改善
不調の8割はゆがみから",上溝1353-18,080-5185-4523 初回検査・問診無料,NA,神奈川県相模原市中央区上溝1353-18,139.3731884,35.5474153
（有）ナカムラタイヤ,小売業,タイヤの修理及び販売,上溝2184,042-762-1220,"タイヤ4本お買上げいただいた方に窒素ガスの充填
サービス
（トラックを除く）",神奈川県相模原市中央区上溝2184,139.3596715,35.5478994
（有）綿屋呉服店,小売業,呉服小物・寝具・衣料品・学校用品,上溝6-2-6,042-762-0012,"1000円以上お買い上げのお客様に不織布マスク（10
枚入り）プレゼント。",神奈川県相模原市中央区上溝6-2-6,139.3577514,35.55656159999999
バースデイ上溝店,サービス業,美容室,上溝5-14-19ダイエー上溝店2F,042-762-4179,NA,神奈川県相模原市中央区上溝5-14-19ダイエー上溝店2F,139.3613488,35.5580878
パティスリーチャリンコ,小売業,洋菓子の製造・販売です。,上溝5-14-36,042-764-4177,NA,神奈川県相模原市中央区上溝5-14-36,139.3608431,35.5578198
ピアチェーレ,飲食業,"イタリアンレストランでパスタ、サラダ、ピザ、デザート
など提供しております。",上溝2179-4シルベール101,042-761-0072,NA,神奈川県相模原市中央区上溝2179-4シルベール101,139.3601391,35.5475228
（有）日の出屋,小売業,パン菓子の製造販売,上溝5-3-11,042-762-0077,NA,神奈川県相模原市中央区上溝5-3-11,139.3592274,35.55713490000001
ビューティサロン かず,サービス業,美容室,上溝2039-21,042-758-2717,NA,神奈川県相模原市中央区上溝2039-21,139.3637901,35.5469952
ビューティサロン チャーム,サービス業,カット　パーマ　カラーリング　着付け,上溝2391-3,042-712-2305,NA,神奈川県相模原市中央区上溝2391-3,139.3541113,35.5513378
美容室ヘアーウィッシュ,サービス業,美容室を経営しています。,上溝5-2-14竹内ビル103,042-762-7997,"ご来店時次回のご予約をされると、カットカラーパーマ
の料金は大きな割引きがあります。",神奈川県相模原市中央区上溝5-2-14竹内ビル103,139.3577372,35.5570276
美容室ベレーザ,サービス業,美容室　美容業,上溝7-17-20 ベレーザ,042-713-1917,NA,神奈川県相模原市中央区上溝7-17-20 ベレーザ,139.3623204,35.5577487
美容室ラルジュ,サービス業,来店時ワンドリンクサービスしています,上溝5-14-1小渕ビル2F,042-761-8588,NA,神奈川県相模原市中央区上溝5-14-1小渕ビル2F,139.3626377,35.5580922
美容整体サロン エタニティ,サービス業,"女性専門 
 小顔、整体エステサロン",上溝3891-1,050-1391-4108,"小顔、整顔が人気のサロン！ 
 初回60分5500円 
 健康で美しくなっていただきたいから 
 内面美容のアドバイスもしてます。 
 発酵教室も開催！",神奈川県相模原市中央区上溝3891-1,139.351058,35.5585066
ファッションケアニック 上溝店,サービス業,"衣類のクリーニング、お直し 
布団、インテリアのクリーニング 
当店のクリーニングは抗菌・抗ウィルス加工で安心し
て生活していただけます。",上溝５－１２－４,042-761-2933,"初めてのお客様、5点までクリーニング半額で承りま
す。 
学生服、フォーマルスーツなどぜひご利用ください。 
ダウン・布団・カーペット・着物は1点ごとに200円お値
引きさせていただきます。",神奈川県相模原市中央区上溝５－１２－４,139.3604294,35.5574945
ファミリーカットシンゴ,サービス業,理容業,上溝3930-15,042-762-8594,NA,神奈川県相模原市中央区上溝3930-15,139.3505978,35.557135100000004
ファミリーマート上溝七曲り店,小売業,コンビニエンスストア,上溝1249-6,042-768-8022,NA,神奈川県相模原市中央区上溝1249-6,139.3715955,35.5457056
ファミリーマート相模原上溝店,小売業,コンビニエンスストアー,上溝1676-1,042-768-8025,NA,神奈川県相模原市中央区上溝1676-1,139.3658636,35.5515433
ファミリーマート相模原番田店,小売業,コンビニエンスストア,上溝2039-1,042-704-6614,NA,神奈川県相模原市中央区上溝2039-1,139.3639069,35.5467977
フィッシング相模屋,小売業,釣り具販売,上溝407-1,042-778-4991,"お得なセールを開催中！詳細は当店ホームページを
ご覧ください。",神奈川県相模原市中央区上溝407-1,139.3641422,35.5436972
ヘアーサロン いその,サービス業,理容,上溝2035-33,042-756-4623,NA,神奈川県相模原市中央区上溝2035-33,139.362592,35.5487486
（株）宝月堂,小売業,電気工事・販売（家電）,上溝6-20-9,042-761-2158,NA,神奈川県相模原市中央区上溝6-20-9,139.3586898,35.5543908
宝飾店ジュベール,"小売業/サービス
業","貴金属取扱/お買取も。ジュエリーや腕時計だけでなく
iPhoneやiPadの修理、電池交換にも対応。
美容部門としてネイルサロン、歯のセルフホワイトニン
グなども展開。",上溝6-1-5,042-761-1500,"ジュエリーリフォーム相談、見積り無料。その他各種修
理見積り無料。",神奈川県相模原市中央区上溝6-1-5,139.3569404,35.5573768
増田屋,小売業,"乾物食品等を販売しています。
なお、店内にカフェコーナーもございます。",上溝6-2-4,042-762-0020,"1,000円以上お買い上げで10%割引き致します。",神奈川県相模原市中央区上溝6-2-4,139.3576407,35.5566715
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
町田建装 上溝営業所,その他,"戸建住宅・マンション・オフィスビル等の塗装・防水工
事業",上溝3843-22,042-761-2183,"抗菌抗ウイルスの内装塗料「アレスシックイ」を定価よ
り39％オフで販売いたします。",神奈川県相模原市中央区上溝3843-22,139.351367,35.5553071
ミスタードーナツ上溝ショップ,飲食業,NA,上溝7-9,042-764-2375,NA,神奈川県相模原市中央区上溝7-9,139.3594451,35.5567422
みそや豊潤,飲食業,信州味噌を使った味噌ラーメンのお店です。,上溝345-1,042-854-9610,NA,神奈川県相模原市中央区上溝345-1,139.363829,35.543417
みなと亭,小売業,豚肉の加工・販売,上溝6-8-1,042-713-1729,毎月29日「肉の日」はサービス券配布,神奈川県相模原市中央区上溝6-8-1,139.3551084,35.5571565
ミヤコバス,サービス業,観光バス,上溝2390‐1,042-713-1138,NA,神奈川県相模原市中央区上溝2390‐1,139.3540141,35.5512591
焼肉智姫,飲食業,"焼肉屋さん
和牛などを、提供しております。",上溝7-3-22,042-761-8629,NA,神奈川県相模原市中央区上溝7-3-22,139.3587271,35.5554949
（有）山田商店,小売業,鮮魚販売,上溝3-20-5,042-762-0046,NA,神奈川県相模原市中央区上溝3-20-5,139.3556816,35.5577221
山のこや,飲食業,"ランチの提供 
居酒屋",上溝379-1,042-777-3733,"家庭的な雰囲気での食事　お酒の提供に心がけてい
ます。",神奈川県相模原市中央区上溝379-1,139.3633119,35.5456972
吉野家上溝店,飲食業,"ご存知、牛丼の吉野家
＊テイクアウトにも対応しています",上溝2380-6,042-764-0829,NA,神奈川県相模原市中央区上溝2380-6,139.3558029,35.5490577
